t,current_set,current,power,shuitong_temp,servers_temp,env_temp
0,1.25,4.5,41.76,30.8,24.4,25.3
5,1.25,4.48,43.68,30.8,24.4,25.3
10,1.25,4.49,44.22,30.8,24.4,25.3
15,1.25,4.53,45.34,30.8,24.4,25.3
20,1.25,4.56,45.96,30.8,24.4,25.3
25,1.25,4.56,46.23,30.8,24.4,25.3
30,1.25,4.58,46.67,30.8,24.4,25.3
35,1.25,4.61,47.43,30.8,24.4,25.3
40,1.25,4.62,47.77,30.8,24.4,25.3
